Splunkbase_ID,App_Name,Folder_Name,Developed_By,Latest_Version,type,Cisco_App_Class,Support,Supported_Cisco_Products_Zipped,Deprecated,Replacement,Archived,Archive_Status,Sourcetypes
525,Cisco Security Suite,Splunk_CiscoSecuritySuite,Splunk Works,3.1.2,app,,not_supported,"Cisco Secure Email Gateway, Cisco Identity Services Engine (ISE), Cisco Secure Firewall (FTD/eStreamer/ASA), Cisco Secure Intrusion Prevention System (Cisco Secure IPS), Cisco Web Security Appliance (WSA)",No,,TRUE,archived_manually,cisco:asa|cisco:esa:textmail|cisco:fwsm|cisco:pix|cisco:wsa:squid
669,Cisco CDR Reporting and Analytics,cisco_cdr,Sideview LLC,8.3.1,app,,developer,Cisco Unified Communications Manager (CUCM),No,,FALSE,live,cisco_cdr_log|cube_cdr|cube_cdr_compact|cucm_audit|cucm_cdr|cucm_cmr|cucm_kiwi_syslog|cvp_log
1297,AppDynamics,appdynamics,Pranta Das,1.8.4,app,,not_supported,Cisco AppDynamics,No,3471,TRUE,archived,
1352,App for Cisco Network Data,cisco_ios,Mikael Bjerkeland,2.8.1,app,,not_supported,"Cisco Access Points (AP), Cisco Aggregation Services Routers (ASR), Cisco Carrier Routing System (CRS), Cisco Catalyst Switches, Cisco Catalyst Center, Cisco Integrated Services Routers (ISR), Cisco Nexus Switches (NEX), Cisco Wireless LAN Controller (WLC)",No,,FALSE,live,cisco:ios
1467,DEPRECATED Add-on for Cisco Network Data,TA-cisco_ios,Mikael Bjerkeland,2.8.2,addon,,not_supported,"Cisco Access Points (AP), Cisco Aggregation Services Routers (ASR), Cisco Carrier Routing System (CRS), Cisco Catalyst Switches, Cisco Catalyst Center, Cisco Integrated Services Routers (ISR), Cisco Nexus Switches (NEX), Cisco Wireless LAN Controller (WLC)",Yes,7538,FALSE,live,cisco:ios|cisco:telemetry|rfc5424_syslog|syslog
1589,Splunk for Cisco Identity Services (ISE),Splunk_CiscoISE,Jason Conger,2.1.4,app,,not_supported,Cisco Identity Services Engine (ISE),No,,FALSE,live,
1620,Splunk Add-on for Cisco ASA,Splunk_TA_cisco-asa,Splunk LLC,6.0.0,addon,Main Apps,splunk,Cisco Secure Firewall (FTD/eStreamer/ASA),No,,FALSE,live,cisco:*|cisco:asa|cisco:ftd|cisco_asa|syslog
1629,Cisco eStreamer Client for Splunk,eStreamer,Cisco Security,2.2.2,app,,not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),No,7404,TRUE,archived_manually,estreamer
1747,Splunk Add-on for Cisco WSA,Splunk_TA_cisco-wsa,Splunk LLC,5.0.0,addon,Main Apps,splunk,Cisco Web Security Appliance (WSA),No,,FALSE,live,cisco:wsa:l4tm|cisco:wsa:squid|cisco:wsa:squid:new|cisco:wsa:syslog|cisco:wsa:w3c|cisco:wsa:w3c:recommended
1761,Splunk Add-on for Cisco ESA,Splunk_TA_cisco-esa,Splunk LLC,1.7.0,addon,Main Apps,splunk,Cisco Secure Email Gateway,No,,FALSE,live,cisco:esa|cisco:esa:amp|cisco:esa:antispam|cisco:esa:authentication|cisco:esa:bounce|cisco:esa:cef|cisco:esa:content_scanner|cisco:esa:delivery|cisco:esa:error_logs|cisco:esa:http|cisco:esa:legacy|cisco:esa:system_logs|cisco:esa:textmail|cisco_esa
1808,Splunk Add-on for Cisco FireSIGHT,Splunk_TA_sourcefire,Splunk Works,3.3.2,addon,,not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),No,7404,TRUE,archived,cisco:sourcefire|cisco:sourcefire:appliance:syslog|cisco:sourcefire:defencecenter:syslog|estreamer|snort|sourcefire
1809,Splunk App for Stream,splunk_app_stream,Splunk LLC,8.1.5,app,Prerequisites,,,,,FALSE,live,
1811,Technology Add-on for Cisco Secure Access Control Server (ACS),TA-cisco_acs,Dave Shpritz,1.5.2,app,,not_supported,Cisco Secure Access Control Server (Cisco ACS),No,,TRUE,archived,cisco:acs
1896,Cisco ACI App for Splunk Enterprise (deprecated),cisco-app-ACI,Cisco Systems,5.1.0,app,,developer,Cisco Application Centric Infrastructure (Cisco ACI),Yes,7777,FALSE,live,
1897,Cisco ACI Add-on for Splunk Enterprise (deprecated),TA_cisco-ACI,Cisco Systems,5.1.0,addon,,developer,Cisco Application Centric Infrastructure (Cisco ACI),Yes,7777,FALSE,live,cisco:apic:authentication|cisco:apic:class|cisco:apic:cloud|cisco:apic:health|cisco:apic:stats|cisco:mso
1903,Splunk Add-on for Cisco IPS,Splunk_TA_cisco-ips,Splunk Works,2.1.6,addon,,not_supported,Cisco Secure Intrusion Prevention System (Cisco Secure IPS),Yes,,TRUE,archived_manually,cisco:ips:syslog|cisco_ips_syslog|sdee_connection
1915,Splunk Add-on for Cisco Identity Services,Splunk_TA_cisco-ise,Splunk LLC,5.0.0,addon,Main Apps,splunk,Cisco Identity Services Engine (ISE),No,,FALSE,live,cisco:ise|cisco:ise:syslog|syslog
1916,Cisco Nexus 9k App for Splunk Enterprise (deprecated),cisco-app-Nexus-9k,Cisco Systems,3.0.0,app,,developer,Cisco Nexus Switches (NEX),Yes,7777,TRUE,archived_manually,cisco:app:nexus:9k:collect
1917,Cisco Nexus 9k Add-on for Splunk Enterprise (deprecated),TA_cisco-Nexus-9k,Cisco Systems,3.0.0,addon,,developer,Cisco Nexus Switches (NEX),Yes,7777,TRUE,archived_manually,cisco:nexus:json|syslog|ta:cisco:nexus:9k:collect
2731,Splunk Add-on for Cisco UCS,Splunk_TA_cisco-ucs,Splunk LLC,4.3.1,addon,Main Apps,splunk,Cisco Unified Computing System (UCS),No,,FALSE,live,splunk_ta_cisco_ucs|splunk_ta_cisco_ucs_migration|splunk_ta_cisco_ucs_ta_util|splunk_ta_cisco_ucs_utility|splunk_ta_cisco_ucs_validation|ta_app_conf|ta_cisco_ucs_controller.log
2791,Cisco Cloud Web Security (CWS) Add-on for Splunk,Cisco_CWS_TA,Cisco Systems,1.1,addon,,not_supported,Cisco Cloud Web Security (CWS),No,,TRUE,archived,ciscocws
2992,Cisco Endpoint Security Analytics (CESA),CiscoNVM,Cisco Systems,4.0.8,app,,not_supported,Cisco Network Visibility Module (NVM),No,,FALSE,live,cisco:nvm:flowdata|cisco:nvm:processinfodata
2997,Cisco CallManager API - TA-ciscoaxl,TA-ciscoaxl,Dominique Vocat,0.4,addon,,not_supported,Cisco Unified Communications Manager (CUCM),No,4434,TRUE,archived,
3018,TA-meraki,TA-meraki,Myron Davis,1.1.5,addon,,developer,Cisco Meraki (Meraki),No,5580,TRUE,archived,meraki
3043,Cisco Cloudlock for Splunk,cloudlock,Yaron Caspy,1.0.19,app,,not_supported,Cisco Cloudlock Cloud Access Security Broker (CASB),No,,FALSE,live,incident
3194,DUO Log Add-on for Splunk,TA-DUOSecurity2FA,Brian Awood,1.2.2,addon,,not_supported,Cisco Duo Security (Duo),No,7404,TRUE,archived_manually,duo:authentication
3324,Cisco Umbrella Investigate Add-on,opendns_investigate,OpenDNS Cisco,0.10.1,addon,,not_supported,Cisco Umbrella,No,7569,TRUE,archived,opendns_investigate
3384,Cisco Spark Add-on for Splunk,splunk_app_spark_room,Alexandra Olteanu,1.24,addon,,not_supported,Cisco Webex (Webex),No,8365,TRUE,archived,
3385,Cisco Spark App for Splunk,splunk_spark_app,Alexandra Olteanu,1.3,app,,not_supported,Cisco Webex (Webex),No,8365,TRUE,archived,spark_room_log
3471,Cisco Splunk Add-on for AppDynamics,Splunk_TA_AppDynamics,Splunk Works,3.1.8,addon,,developer,Cisco AppDynamics (AppD),No,,FALSE,live,appdynamics_analytics|appdynamics_audit|appdynamics_custom_metrics|appdynamics_databases|appdynamics_events|appdynamics_hardware|appdynamics_licenses|appdynamics_security|appdynamics_snapshots|appdynamics_status
3472,Splunk App for AppDynamics,splunk_app_AppDynamics,Splunk Works,3.0.4,app,,not_supported,Cisco AppDynamics,No,3471,TRUE,archived,
3496,Cisco CMX Add-on for Splunk,TA-CMX,Crest Data Systems,1.4,addon,,not_supported,Cisco Connected Mobile Experiences (Cisco CMX),No,8485,TRUE,archived,cmxactive|cmxanalytics|cmxfloor|cmxhttp|cmxmap
3497,Cisco CMX App for Splunk,CMX,Crest Data Systems,1.3.4,app,,not_supported,Cisco Connected Mobile Experiences (Cisco CMX),No,8485,TRUE,archived,cmxactive|cmxhttp
3504,Duo Splunk Connector,duo_splunkapp,Duo Security,2.1.0,app,,developer,Cisco Duo Security (Duo),Yes,7404,FALSE,live,
3629,Umbrella Add-on for Splunk Enterprise,TA-Umbrella,Mikael Bjerkeland,1,addon,,not_supported,Cisco Umbrella,No,7569,TRUE,archived_manually,opendns:dnslog
3662,Cisco Secure eStreamer Client Add-On for Splunk,TA-eStreamer,Cisco Security,5.2.9,addon,,developer,Cisco Secure Firewall (FTD/eStreamer/ASA),No,7404,TRUE,archived,cisco:estreamer:data|cisco:estreamer:log|cisco:firepower:syslog
3663,Cisco Firepower eNcore App for Splunk,eStreamer-Dashboard,Cisco Security,3.5.3,app,,not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),No,4388,TRUE,archived_manually,cisco:estreamer:data
3670,Cisco Secure Endpoint (formerly AMP for endpoints),amp4e_events_input,Cisco Security,3.0.0,app,,not_supported,Cisco Secure Endpoint (CSE/AMP),No,7404,TRUE,archived,cisco:amp:event
