Splunkbase_ID,App_Name,Folder_Name,Developed_By,Latest_Version,type,Cisco_App_Class,Splunkbase_URL,Release_Date,Latest_Release_Date, Download_Count ,Support,Supported_Cisco_Products,Supported_Cisco_Products_Zipped,#_Products_Supported,Deprecated,Replacement,Dependencies,Archived,Archive_Status,Sourcetypes,Sourcetypes_Expanded,Collection_Method,Knowledge_Objects,Status,
525,Cisco Security Suite,Splunk_CiscoSecuritySuite,Splunk Works,3.1.2,app,,https://splunkbase.splunk.com/app/525,"August 23, 2016","August 23, 2016"," 48,995 ",not_supported,"Cisco Secure Email Gateway
Cisco Identity Services Engine (ISE)
Cisco Secure Firewall (FTD/eStreamer/ASA)
Cisco Secure Intrusion Prevention System (Cisco Secure IPS)
Cisco Web Security Appliance (WSA)","Cisco Secure Email Gateway, Cisco Identity Services Engine (ISE), Cisco Secure Firewall (FTD/eStreamer/ASA), Cisco Secure Intrusion Prevention System (Cisco Secure IPS), Cisco Web Security Appliance (WSA)",2,No,,,TRUE,archived_manually,cisco:asa|cisco:esa:textmail|cisco:fwsm|cisco:pix|cisco:wsa:squid,"cisco:asa
cisco:esa:textmail
cisco:fwsm
cisco:pix
cisco:wsa:squid",,"13 eventtypes, 22 transforms, 89 saved searches, 15 lookups, 29 bin files, 65 dashboards",Validated,
669,Cisco CDR Reporting and Analytics,cisco_cdr,Sideview LLC,8.3.1,app,,https://splunkbase.splunk.com/app/669,"February 9, 2026","February 9, 2026"," 19,320 ",developer,Cisco Unified Communications Manager (CUCM),Cisco Unified Communications Manager (CUCM),1,No,,,FALSE,live,cisco_cdr_log|cube_cdr|cube_cdr_compact|cucm_audit|cucm_cdr|cucm_cmr|cucm_kiwi_syslog|cvp_log,"cisco_cdr_log
cube_cdr
cube_cdr_compact
cucm_audit
cucm_cdr
cucm_cmr
cucm_kiwi_syslog
cvp_log",,,Validated,
1352,App for Cisco Network Data,cisco_ios,Mikael Bjerkeland,2.8.1,app,,https://splunkbase.splunk.com/app/1352,"October 8, 2024","October 8, 2024"," 83,303 ",not_supported,"Cisco Access Points (AP)
Cisco Aggregation Services Routers (ASR)
Cisco Carrier Routing System (CRS)
Cisco Catalyst Switches
Cisco Catalyst Center
Cisco Integrated Services Routers (ISR)
Cisco Nexus Switches (NEX)
Cisco Wireless LAN Controller (WLC)","Cisco Access Points (AP), Cisco Aggregation Services Routers (ASR), Cisco Carrier Routing System (CRS), Cisco Catalyst Switches, Cisco Catalyst Center, Cisco Integrated Services Routers (ISR), Cisco Nexus Switches (NEX), Cisco Wireless LAN Controller (WLC)",9,No,,,FALSE,live,cisco:ios,cisco:ios,,,Validated,
1467,DEPRECATED Add-on for Cisco Network Data,TA-cisco_ios,Mikael Bjerkeland,2.8.2,addon,,https://splunkbase.splunk.com/app/1467,"February 6, 2026","February 6, 2026"," 120,044 ",not_supported,"Cisco Access Points (AP)
Cisco Aggregation Services Routers (ASR)
Cisco Carrier Routing System (CRS)
Cisco Catalyst Switches
Cisco Catalyst Center
Cisco Integrated Services Routers (ISR)
Cisco Nexus Switches (NEX)
Cisco Wireless LAN Controller (WLC)","Cisco Access Points (AP), Cisco Aggregation Services Routers (ASR), Cisco Carrier Routing System (CRS), Cisco Catalyst Switches, Cisco Catalyst Center, Cisco Integrated Services Routers (ISR), Cisco Nexus Switches (NEX), Cisco Wireless LAN Controller (WLC)",9,Yes,7538,,FALSE,live,cisco:ios|cisco:telemetry|rfc5424_syslog|syslog,"cisco:ios
cisco:telemetry
rfc5424_syslog
syslog",Syslog (parsing only),"64 eventtypes, 18 tags, 138 transforms, 6 lookups",Validated,
1589,Splunk for Cisco Identity Services (ISE),Splunk_CiscoISE,Jason Conger,2.1.4,app,,https://splunkbase.splunk.com/app/1589,"March 3, 2025","March 3, 2025"," 19,969 ",not_supported,Cisco Identity Services Engine (ISE),Cisco Identity Services Engine (ISE),1,No,,,FALSE,live,,,,"1 eventtypes, 1 saved searches, 3 lookups, 24 dashboards",Validated,
1620,Splunk Add-on for Cisco ASA,Splunk_TA_cisco-asa,Splunk LLC,6.0.0,addon,Main Apps,https://splunkbase.splunk.com/app/1620,"July 25, 2025","July 25, 2025"," 121,750 ",splunk,Cisco Secure Firewall (FTD/eStreamer/ASA),Cisco Secure Firewall (FTD/eStreamer/ASA),1,No,,,FALSE,live,cisco:*|cisco:asa|cisco:ftd|cisco_asa|syslog,"cisco:*
cisco:asa
cisco:ftd
cisco_asa
syslog",Syslog (parsing only),"16 eventtypes, 13 tags, 189 transforms, 6 lookups, 1 dashboards",Validated,
1629,Cisco eStreamer Client for Splunk,eStreamer,Cisco Security,2.2.2,app,,https://splunkbase.splunk.com/app/1629,"September 23, 2016","September 23, 2016"," 10,424 ",not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),Cisco Secure Firewall (FTD/eStreamer/ASA),2,No,7404,,TRUE,archived_manually,estreamer,estreamer,,,Validated,
1747,Splunk Add-on for Cisco WSA,Splunk_TA_cisco-wsa,Splunk LLC,5.0.0,addon,Main Apps,https://splunkbase.splunk.com/app/1747,"December 13, 2024","December 13, 2024"," 43,584 ",splunk,Cisco Web Security Appliance (WSA),Cisco Web Security Appliance (WSA),1,No,,,FALSE,live,cisco:wsa:l4tm|cisco:wsa:squid|cisco:wsa:squid:new|cisco:wsa:syslog|cisco:wsa:w3c|cisco:wsa:w3c:recommended,"cisco:wsa:l4tm
cisco:wsa:squid
cisco:wsa:squid:new
cisco:wsa:syslog
cisco:wsa:w3c
cisco:wsa:w3c:recommended",Syslog (parsing only),"11 eventtypes, 5 tags, 90 transforms, 2 lookups, 1 dashboards",Validated,
1761,Splunk Add-on for Cisco ESA,Splunk_TA_cisco-esa,Splunk LLC,1.7.0,addon,Main Apps,https://splunkbase.splunk.com/app/1761,"July 30, 2024","June 17, 1975"," 25,170 ",splunk,Cisco Secure Email Gateway,Cisco Secure Email Gateway,1,No,,,FALSE,live,cisco:esa|cisco:esa:amp|cisco:esa:antispam|cisco:esa:authentication|cisco:esa:bounce|cisco:esa:cef|cisco:esa:content_scanner|cisco:esa:delivery|cisco:esa:error_logs|cisco:esa:http|cisco:esa:legacy|cisco:esa:system_logs|cisco:esa:textmail|cisco_esa,"cisco:esa
cisco:esa:amp
cisco:esa:antispam
cisco:esa:authentication
cisco:esa:bounce
cisco:esa:cef
cisco:esa:content_scanner
cisco:esa:delivery
cisco:esa:error_logs
cisco:esa:http
cisco:esa:legacy
cisco:esa:system_logs
cisco:esa:textmail
cisco_esa",Syslog (parsing only),"21 eventtypes, 15 tags, 204 transforms, 4 lookups, 1 dashboards",Validated,
1808,Splunk Add-on for Cisco FireSIGHT,Splunk_TA_sourcefire,Splunk Works,3.3.2,addon,,https://splunkbase.splunk.com/app/1808,"August 19, 1974","August 19, 1974"," 17,481 ",not_supported,Cisco Secure Firewall (FTD/eStreamer/ASA),Cisco Secure Firewall (FTD/eStreamer/ASA),1,No,7404,,TRUE,archived,cisco:sourcefire|cisco:sourcefire:appliance:syslog|cisco:sourcefire:defencecenter:syslog|estreamer|snort|sourcefire,"cisco:sourcefire
cisco:sourcefire:appliance:syslog
cisco:sourcefire:defencecenter:syslog
estreamer
snort
sourcefire",Syslog (parsing only),"14 eventtypes, 16 tags, 20 transforms, 6 lookups",Validated,
